t,dobrushin,row_hetero,RV_t,VIX_t
1358,0.0192334535531699,0.0051020920696834,0.0001161637628073,16.42
1359,0.0204948424361646,0.0053862740514605,0.0001389494672462,16.42
1360,0.0207336237654089,0.0053668653485851,0.0001598305756077,17.07
1361,0.0187991452403366,0.0050423992465341,0.0001490885555014,17.89
1362,0.0190869085490703,0.0051503284310652,0.000149699860738,16.1
1363,0.0184595985338091,0.0050371575787011,0.0001548744996606,15.65
1364,0.0182903753593564,0.0049920977497793,0.000162536288808,16.39
1365,0.0183040867559611,0.0049810088487335,0.0001470108047294,17.02
1366,0.0184832825325429,0.0050326085169658,0.000146899359607,18.15
1367,0.0186028503812849,0.0050544763479369,0.000144371508801,17.75
1368,0.0153153180144727,0.0037999056342374,0.00015203333256,20.7
1369,0.0149710862897336,0.0036922498979301,0.0001522281911067,17.89
1370,0.0159866400063037,0.0040612645892532,0.0001600076297465,16.66
1371,0.0172159536741673,0.0044697119374618,0.0001611219550969,16.32
1372,0.0158747667446732,0.0039865092114115,0.0001701244503796,15.97
1373,0.0177127760834991,0.0046117276329584,0.0002272811609705,15.62
1374,0.0148312402889132,0.0035069298657654,0.0002293265347183,15.76
1375,0.0153569942340254,0.0038555217505454,0.0002390217315926,16.02
1376,0.0175409074872732,0.0046160907588071,0.0002265070660567,15.83
1377,0.0161613235250115,0.0041217999401116,0.0002156339877759,15.48
1378,0.015580803155899,0.0039058804361507,0.0002376806553748,15.07
1379,0.0176492189057171,0.0045902440863777,0.0002484268045505,16.44
1380,0.018901343923062,0.0049641788802313,0.0002353797146828,16.2
1381,0.0158253908157348,0.003850401751697,0.0002427999688676,19.0
1382,0.0151627287268638,0.0036510767176847,0.0002513484953757,16.18
1383,0.0168236326426267,0.0042825855321003,0.0002498237718121,16.17
1384,0.0161397587507963,0.0040354173680648,0.0002478184152141,17.12
1385,0.0155514748767018,0.0038136343750789,0.0002423243625271,16.33
1386,0.0162135604768991,0.0040684176539933,0.0002422837621877,17.01
1387,0.0158385215327143,0.0039322256170188,0.0002463398301537,18.45
1388,0.0153483902104198,0.0037624789257643,0.0002442990053536,22.5
1389,0.0164339519105851,0.0041569810724418,0.0002382846719352,19.73
